Start Time (s),End Time (s),Duration (s)
8.000,17.000,9.000
18.000,22.000,4.000
61.000,76.000,15.000
78.000,83.000,5.000
84.000,106.000,22.000
113.000,116.000,3.000
119.000,121.000,2.000
132.000,134.000,2.000
135.000,150.000,15.000
152.000,165.000,13.000
187.000,196.000,9.000
199.000,204.000,5.000
214.000,242.000,28.000
256.000,262.000,6.000
263.000,268.000,5.000
269.000,278.000,9.000
279.000,289.000,10.000
294.000,302.000,8.000
305.000,310.000,5.000
312.000,328.000,16.000
344.000,350.000,6.000
351.000,354.000,3.000
380.000,393.000,13.000
418.000,430.000,12.000
519.000,524.000,5.000
620.000,635.000,15.000
740.000,785.000,45.000
788.000,796.000,8.000
