Start Time (s),End Time (s),Duration (s)
9.970,17.075,7.104
19.876,22.745,2.869
62.992,74.888,11.897
75.547,76.660,1.114
80.373,83.562,3.189
85.790,86.836,1.046
88.608,91.392,2.784
93.400,95.611,2.211
96.860,99.172,2.312
99.982,106.360,6.379
114.916,116.418,1.502
121.008,121.717,0.709
133.580,134.288,0.709
137.140,149.948,12.808
153.779,164.967,11.188
188.828,190.465,1.637
192.440,196.557,4.117
201.586,204.303,2.717
216.200,222.123,5.923
223.793,225.481,1.688
226.763,241.698,14.934
258.303,261.948,3.645
265.407,267.922,2.514
270.875,272.022,1.148
272.208,272.697,0.489
273.052,274.165,1.114
274.638,275.296,0.658
276.545,277.574,1.029
281.303,283.531,2.227
285.505,289.488,3.983
296.255,302.667,6.413
307.747,309.670,1.924
314.210,325.313,11.104
326.309,327.524,1.215
346.390,350.795,4.404
352.853,354.946,2.092
382.351,385.473,3.122
386.654,388.122,1.468
389.405,392.982,3.577
419.847,431.238,11.391
484.495,484.748,0.253
487.735,488.309,0.574
520.945,524.540,3.594
598.503,603.481,4.978
622.060,625.402,3.341
626.397,630.785,4.388
633.130,635.054,1.924
742.430,747.610,5.181
750.597,753.314,2.717
754.546,757.027,2.481
758.174,785.309,27.135
791.570,795.890,4.320
